OriginalText	MappingText	Category	Description	Comment
勇者	勇者	Translator
神官	神官	Translator
修道士	修道士	Translator
騎士	騎士	Translator
騎士団長	騎士團長	Translator
孤児院	孤兒院	Translator
魔導士	魔導士	Translator
魔法	魔法	Translator
魔物	魔物	Translator
魔裝具	魔裝具	Translator
魔導具	魔導具	Translator
魔法具	魔法具	Translator
裝備	裝備	Translator
術式	術式	Translator
術者	術者	Translator
詠唱時間	詠唱時間	Translator
錬金	鍊金	Translator
鍛冶	鍛造	Translator
辭典	辭典	Translator
內臓	內臟	Translator
酒瓶	酒瓶	Translator
